system,temperature,element,identifier,formula,D_reported_cm2s,D_table_einstein_cm2s,D_table_mpconv_cm2s,msd_tmax_ps
Al-Li-Na-P,2500.0,Na,mp-9719,Na2LiAlP2,0.00109502,0.00043820999723960226,0.0013146299917188068,34.5
Al-Li-Na-P,2500.0,P,mp-9719,Na2LiAlP2,0.000535214,0.00016121844903443867,0.0004836553471033161,34.5
Al-Li-Na-P,1000.0,Li,mp-9719,Na2LiAlP2,7.38757e-05,3.419030797699036e-05,0.00010257092393097108,39.9
Al-Li-Na-P,1000.0,Al,mp-9719,Na2LiAlP2,2.30749e-08,5.93009805653455e-07,1.779029416960365e-06,39.9
Al-Li-Na-P,1000.0,Na,mp-9719,Na2LiAlP2,5.79711e-05,1.8384451552978357e-05,5.515335465893507e-05,39.9
Al-Li-Na-P,1000.0,P,mp-9719,Na2LiAlP2,1.6833e-06,5.863839801906285e-07,1.7591519405718855e-06,39.9
Al-Li-Na-P,1500.0,Li,mp-9719,Na2LiAlP2,0.000276115,8.157734318450652e-05,0.00024473202955351957,39.5
Al-Li-Na-P,1500.0,Al,mp-9719,Na2LiAlP2,3.60728e-05,1.1298871318030953e-05,3.389661395409286e-05,39.5
Al-Li-Na-P,1500.0,Na,mp-9719,Na2LiAlP2,0.000287739,0.00010194897512312487,0.00030584692536937463,39.5
Al-Li-Na-P,1500.0,P,mp-9719,Na2LiAlP2,3.24679e-05,1.0179468303395725e-05,3.053840491018717e-05,39.5
Al-Li-O,2500.0,Li,mp-8001,LiAlO2,0.000435201,0.00016300948414903045,0.0004890284524470914,39.9
Al-Li-O,2500.0,Al,mp-8001,LiAlO2,3.83531e-05,1.439868730142885e-05,4.319606190428655e-05,39.9
Al-Li-O,2500.0,O,mp-8001,LiAlO2,6.45961e-05,1.718388552752652e-05,5.155165658257957e-05,39.9
Al-Li-O,2000.0,Li,mp-8001,LiAlO2,0.000236006,7.050673313917489e-05,0.00021152019941752466,39.9
Al-Li-O,2000.0,Al,mp-8001,LiAlO2,1.7603e-05,6.665845925421162e-06,1.9997537776263488e-05,39.9
Al-Li-O,2000.0,O,mp-8001,LiAlO2,1.92982e-05,6.203848497803785e-06,1.861154549341135e-05,39.9
Al-Li-O,1500.0,Li,mp-8001,LiAlO2,8.2824e-05,1.5848645021325605e-05,4.754593506397682e-05,39.9
Al-Li-O,1500.0,Al,mp-8001,LiAlO2,,3.938456327366795e-07,1.1815368982100386e-06,39.9
Al-Li-O,1500.0,O,mp-8001,LiAlO2,9.74401e-07,3.142690521247477e-07,9.428071563742431e-07,39.9
Al-Li-O,1000.0,Li,mp-8001,LiAlO2,1.65483e-05,6.923573780216093e-06,2.0770721340648277e-05,39.9
Al-Li-O,1000.0,Al,mp-8001,LiAlO2,,6.709343673501276e-08,2.0128031020503827e-07,39.9
Al-Li-O,1000.0,O,mp-8001,LiAlO2,,7.856666594327444e-08,2.3569999782982332e-07,39.9
Al-Li-Si,1000.0,Li,Li4AlSi-1000K,Li4AlSi,0.000121074,3.9377733913640567e-05,0.0001181332017409217,33.8
Al-Li-Si,1000.0,Al,Li4AlSi-1000K,Li4AlSi,5.75798e-05,1.8743749814709085e-05,5.623124944412726e-05,33.8
Al-Li-Si,1000.0,Si,Li4AlSi-1000K,Li4AlSi,2.04323e-05,8.558242399725338e-06,2.5674727199176014e-05,33.8
Al-Li-Si,1500.0,Li,Li4AlSi-1500K,Li4AlSi,0.00048274,0.00018119884276781434,0.000543596528303443,39.9
Al-Li-Si,1500.0,Al,Li4AlSi-1500K,Li4AlSi,0.000275506,8.511296604541748e-05,0.00025533889813625246,39.9
Al-Li-Si,1500.0,Si,Li4AlSi-1500K,Li4AlSi,0.000201624,6.030214921989387e-05,0.00018090644765968161,39.9
Al-Li-Si,2000.0,Li,Li4AlSi-2000K,Li4AlSi,0.000882108,0.0003048372194304858,0.0009145116582914574,33.3
Al-Li-Si,2000.0,Al,Li4AlSi-2000K,Li4AlSi,0.00053063,0.000162148232518313,0.000486444697554939,33.3
