system,formula,anion_class,n_Li,natoms,n_conv_T,med_prod_ps,min_trun_ps,med_tlag_ps,med_beta,med_block_cv,med_Dwin_spread,charge_conv_T,med_haven,D_Li_1000K,D_Li_1500K,D_Li_2000K,D_Li_2500K,blockcv_1000K,blockcv_1500K,blockcv_2000K,blockcv_2500K,Ea_eV
Al-Li-Si,Al17Li68Si17,network(B/C/Si/Ge),68,102,3,33.614999999999995,20.0,1.0,0.9555,0.0645,0.1095,1,1.375,3.94e-05,0.0001812,0.0003047,0.0004129,0.281,0.062,0.067,0.032,0.34
Ge-Li-Si,Ge4Li40Si36,network(B/C/Si/Ge),40,80,2,35.7,25.0,8.0,0.9545,0.1895,0.157,0,1.005,3.896e-05,0.0001768,0.0002866,0.0006603,0.189,0.075,0.19,0.203,0.386
Li-Pd,Li68Pd34,metallic,68,102,2,33.28,25.0,5.5,0.8915,0.131,0.174,1,0.99,3.873e-05,0.0001075,0.0002582,0.0002177,0.181,0.163,0.098,0.099,0.274
As-Li-Si,As28Li63Si14,pnictide,63,105,4,38.46,15.0,1.0,1.043,0.048,0.086,1,1.34,3.868e-05,0.0001518,0.0003024,0.0004436,0.189,0.031,0.058,0.038,0.352
As-Li-Sn,As27Li42Sn36,pnictide,42,105,2,29.714999999999996,10.0,1.0,0.9245,0.1355,0.1175,1,1.29,3.865e-05,0.000161,0.0003147,0.0004204,0.077,0.242,0.11,0.161,0.348
Li-Zn,Li50Zn50,metallic,50,100,2,35.415,25.0,1.0,1.0539999999999998,0.11149999999999999,0.128,2,0.495,3.748e-05,0.0001293,0.0002679,0.0003232,0.099,0.279,0.121,0.102,0.319
Li-Si-Sn-Sr,Li50Si40Sn5Sr5,network(B/C/Si/Ge),50,100,3,34.75,25.0,1.0,1.02,0.0945,0.14350000000000002,1,0.72,3.683e-05,0.000156,0.0003145,0.0003597,0.097,0.155,0.092,0.087,0.34
Li-Mn-Sn,Li75Mn5Sn20,metallic,75,100,2,26.095,10.0,1.0,0.986,0.1105,0.089,2,0.58,3.661e-05,0.000161,0.0002717,0.0004747,0.293,0.132,0.089,0.08,0.36
Cu-Li-S,Cu17Li51S34,chalcogenide,51,102,2,36.045,10.0,1.0,1.047,0.10500000000000001,0.138,1,0.46499999999999997,3.584e-05,0.0001351,0.000274,0.0004198,0.22,0.113,0.061,0.097,0.353
Li-Sn-Ta,Li52Sn13Ta39,metallic,52,104,2,35.004999999999995,15.0,2.75,0.884,0.12,0.14450000000000002,2,0.28,3.572e-05,0.0001024,0.0001629,0.0002811,0.133,0.113,0.109,0.127,0.285
Li-Sb,Li80Sb20,pnictide,80,100,4,32.95,7.5,1.0,1.025,0.0615,0.077,2,0.5,3.566e-05,0.0001725,0.0003566,0.0005588,0.194,0.028,0.042,0.081,0.395
Li-S-Ti,Li36S36Ti9,chalcogenide,36,81,2,34.56,20.0,4.5,1.0005,0.16,0.187,1,1.12,3.522e-05,0.000122,0.0003038,0.0004098,0.267,0.112,0.208,0.044,0.36
Li-Si-Sn,Li75Si10Sn15,network(B/C/Si/Ge),75,100,3,36.525,30.0,1.0,1.0345,0.1315,0.0945,2,0.43,3.417e-05,0.000189,0.0002744,0.0005114,0.251,0.148,0.068,0.115,0.376
Li-Pd-Sn,Li75Pd5Sn20,metallic,75,100,2,35.655,25.0,1.0,1.0110000000000001,0.1075,0.1225,2,1.27,3.38e-05,0.0001764,0.0002879,0.0006139,0.127,0.096,0.119,0.046,0.4
Li-Mo-Si,Li63Mo14Si28,network(B/C/Si/Ge),63,105,2,32.08,20.0,1.0,1.0150000000000001,0.111,0.1705,1,1.2149999999999999,3.171e-05,0.0001128,0.000304,0.000404,0.251,0.134,0.058,0.088,0.375
Cu-Li-Si,Cu45Li57Si12,network(B/C/Si/Ge),57,114,3,27.07,5.0,1.0,1.0710000000000002,0.11599999999999999,0.065,1,5.76,2.656e-05,9.654e-05,0.0001963,0.0003261,0.23,0.121,0.111,0.07,0.356
Cu-Li-O-P,Cu5Li25O40P10,oxide,25,80,2,36.635000000000005,20.0,8.0,1.0405,0.1275,0.2575,0,1.6400000000000001,2.404e-05,8.682e-05,0.0002181,0.0001683,0.103,0.085,0.152,0.209,0.312
Au-Li-Sn,Au25Li50Sn25,metallic,50,100,2,30.935000000000002,10.0,1.0,1.02,0.145,0.119,0,1.405,2.3e-05,0.0001004,0.0002134,0.0004082,0.334,0.052,0.173,0.117,0.404
Li-Rh-Si,Li63Rh18Si24,network(B/C/Si/Ge),63,105,3,33.455,30.0,1.0,1.018,0.11,0.092,1,0.27,2.173e-05,9.764e-05,0.0002205,0.0003943,0.343,0.093,0.103,0.117,0.412
Cu-Li-Sn,Cu20Li60Sn20,metallic,60,100,2,28.345,10.0,1.0,0.9410000000000001,0.1385,0.129,0,3.33,1.959e-05,0.000132,0.0003012,0.0003919,0.153,0.16,0.124,0.055,0.442
Li-Si-V,Li51Si34V17,network(B/C/Si/Ge),51,102,2,35.795,20.0,1.0,0.9795,0.11599999999999999,0.1375,3,0.51,1.933e-05,7.432e-05,0.0002085,0.0003562,0.318,0.083,0.078,0.149,0.418
Li-P,Li75P25,pnictide,75,100,3,33.485,25.0,1.0,1.0394999999999999,0.144,0.07999999999999999,1,1.9249999999999998,1.673e-05,5.392e-05,0.0002502,0.0004247,0.485,0.146,0.056,0.142,0.472
Li-Pt-Sn,Li60Pt8Sn32,metallic,60,100,2,30.185000000000002,20.0,2.5,1.0135,0.16599999999999998,0.091,1,1.25,1.536e-05,0.0001129,0.0002578,0.000478,0.425,0.16,0.135,0.172,0.49
Li-O-Sn,Li40O40Sn20,oxide,40,100,2,36.285,25.0,1.0,0.965,0.2115,0.1475,2,4.16,1.509e-05,6.484e-05,0.0001337,0.0002231,0.45,0.243,0.18,0.092,0.384
Li-Mn-Si,Li55Mn20Si35,network(B/C/Si/Ge),55,110,3,29.77,5.0,1.0,0.963,0.0995,0.123,2,1.15,1.389e-05,7.535e-05,0.0001839,0.0003444,0.326,0.114,0.085,0.051,0.457
Li-Rb-Se,Li34Rb34Se34,chalcogenide,34,102,2,34.155,15.0,5.5,0.9325,0.1245,0.18,3,0.585,1.292e-05,6.267e-05,0.0002054,0.0003384,0.146,0.103,0.213,0.071,0.474
Al-K-Li-P,Al17K34Li17P34,pnictide,17,102,2,20.245,15.0,1.0,0.8089999999999999,0.24,0.224,2,1.6949999999999998,9.225e-06,6.725e-05,0.0001321,0.0003497,0.758,0.226,0.254,0.1,0.501
Li-O-Zn,Li50O45Zn20,oxide,50,115,3,31.270000000000003,15.0,1.0,0.971,0.1155,0.121,2,0.915,7.65e-06,6.041e-05,0.0001328,0.0002286,0.263,0.095,0.136,0.094,0.487
Ga-Li-O,Ga10Li50O40,oxide,50,100,2,23.17,15.0,1.0,1.0175,0.08499999999999999,0.17149999999999999,3,1.0,7.393e-06,6.133e-05,0.0001696,0.0002777,0.392,0.039,0.076,0.094,0.526
Li-O-V,Li20O60V20,oxide,20,100,2,38.735,25.0,1.25,0.962,0.14100000000000001,0.1365,2,1.25,7.251e-06,6.647e-05,0.0001443,0.0001829,0.457,0.155,0.127,0.054,0.477
Li-Sn-Ti,Li32Sn36Ti60,metallic,32,128,2,23.865000000000002,25.0,5.0,0.899,0.1825,0.1785,1,0.28,6.319e-06,4.93e-05,0.0001493,0.000181,0.881,0.142,0.21,0.155,0.501
As-Li-O,As20Li20O60,oxide,20,100,2,31.810000000000002,20.0,10.0,0.957,0.181,0.27349999999999997,0,1.725,5.941e-06,8.326e-05,0.0001256,0.000281,0.296,0.197,0.143,0.165,0.539
Li-O-Zr,Li42O49Zr14,oxide,42,105,3,29.765,20.0,1.75,0.9665,0.163,0.133,1,0.7,5.65e-06,3.658e-05,9.121e-05,0.0001702,0.304,0.196,0.13,0.114,0.486
